src_ip,dst_ip,length,protocol,src_port,dst_port,flags,prediction
34.160.144.191,192.168.31.136,143,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.160.144.191,183,6,58514,443,PA,1
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
34.160.144.191,192.168.31.136,139,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.149.100.209,214,6,34554,443,PA,1
34.149.100.209,192.168.31.136,60,6,443,34554,A,0
34.149.100.209,192.168.31.136,166,6,443,34554,PA,0
192.168.31.136,34.149.100.209,100,6,34554,443,PA,0
34.149.100.209,192.168.31.136,60,6,443,34554,A,0
192.168.31.136,34.160.144.191,183,6,58514,443,PA,1
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
34.160.144.191,192.168.31.136,139,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.160.144.191,183,6,58514,443,PA,1
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
34.160.144.191,192.168.31.136,139,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.149.100.209,215,6,34554,443,PA,1
34.149.100.209,192.168.31.136,60,6,443,34554,A,0
34.149.100.209,192.168.31.136,166,6,443,34554,PA,0
192.168.31.136,34.149.100.209,100,6,34554,443,PA,0
34.149.100.209,192.168.31.136,60,6,443,34554,A,0
192.168.31.136,34.160.144.191,183,6,58514,443,PA,1
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
34.160.144.191,192.168.31.136,139,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.160.144.191,183,6,58514,443,PA,1
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
34.160.144.191,192.168.31.136,139,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.149.100.209,172,6,34554,443,PA,1
34.149.100.209,192.168.31.136,60,6,443,34554,A,0
34.149.100.209,192.168.31.136,143,6,443,34554,PA,0
192.168.31.136,34.149.100.209,100,6,34554,443,PA,0
34.149.100.209,192.168.31.136,60,6,443,34554,A,0
192.168.31.136,34.160.144.191,183,6,58514,443,PA,1
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
34.160.144.191,192.168.31.136,139,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.160.144.191,183,6,58514,443,PA,1
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
34.160.144.191,192.168.31.136,139,6,443,58514,PA,0
192.168.31.136,34.160.144.191,100,6,58514,443,PA,0
34.160.144.191,192.168.31.136,60,6,443,58514,A,0
192.168.31.136,34.149.100.209,194,6,34554,443,PA,1
34.149.100.209,192.168.31.136,60,6,443,34554,A,0
34.149.100.209,192.168.31.136,3032,6,443,34554,PA,0
