src_ip,dst_ip,length,protocol,src_port,dst_port,flags,timestamp
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:04
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:04
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:05
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:06
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:05
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:06
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:06
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:07
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:07
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:07
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:07
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:08
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:08
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:08
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:08
34.160.144.191,192.168.31.136,143,6,443,38754,PA,2025-05-17 13:18:09
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:09
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:09
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:09
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:09
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:09
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:10
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:10
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:10
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:10
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:10
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:11
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:11
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:11
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:11
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:11
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:11
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:11
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:12
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:12
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:12
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:12
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:12
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:12
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:13
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:13
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:13
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:13
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:13
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:13
34.160.144.191,192.168.31.136,143,6,443,38754,PA,2025-05-17 13:18:14
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:14
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:14
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:14
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:14
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:14
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:14
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:14
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:15
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:15
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:15
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:15
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:15
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:15
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:15
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:15
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:15
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:15
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:15
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:16
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:16
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:16
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:16
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:16
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:16
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:16
34.160.144.191,192.168.31.136,143,6,443,38754,PA,2025-05-17 13:18:17
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:17
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:17
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:17
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:17
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:17
34.160.144.191,192.168.31.136,143,6,443,38754,PA,2025-05-17 13:18:17
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:18
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:18
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:18
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:18
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:18
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:18
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:18
192.168.31.136,34.160.144.191,100,6,38754,443,PA,2025-05-17 13:18:19
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:19
192.168.31.136,34.160.144.191,183,6,38754,443,PA,2025-05-17 13:18:19
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:19
34.160.144.191,192.168.31.136,139,6,443,38754,PA,2025-05-17 13:18:19
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:19
34.160.144.191,192.168.31.136,60,6,443,38754,A,2025-05-17 13:18:19
34.160.144.191,192.168.31.136,143,6,443,55264,PA,2025-05-17 13:29:54
192.168.31.136,34.160.144.191,100,6,55264,443,PA,2025-05-17 13:29:55
